sentence,labels,rule_attri
The total length of this LPG pipeline is 1415 km,"O,B-attr,I-attr,O,O,B-ent,I-ent,O,B-qty,I-qty",total length
Defensive end Rulon Jones led the line with 7 sacks,"O,O,B-ent,I-ent,O,O,O,O,B-qty,I-qty",number of sacks
 The diameter of an Oreo cookie is 1.75 inches,"O,O,B-attr,O,O,B-ent,I-ent,O,B-qty,I-qty",diameter
This presence in Russia lasted 3 years,"O,B-attr,O,B-ent,O,B-qty,I-qty",presence duration
Hyundai owns 33.88 % of Kia,"B-ent,O,B-qty,I-qty,O,B-attr",Kia share
"The Criollos entered the league 's "" Super 6 "" semifinals","O,B-ent,O,O,O,O,O,O,O,O,O",unknown
Vermont 's share is about 4.5 percent,"B-ent,I-ent,B-attr,O,O,B-qty,I-qty",share
Ballari district has 25 % of India 's Iron ore reserves,"B-ent,I-ent,O,B-qty,I-qty,O,B-attr,I-attr,I-attr,I-attr,I-attr",India's Iron ore reserves
Hạ Long city is 150 km from the airport,"B-ent,I-ent,I-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr",distance from the airport
"The ENIAC was built in 30 months with 200,000 man hours","O,B-ent,O,B-attr,O,B-qty,I-qty,O,O,O,O",duration built
The bridge carries 60 to 70 percent of commercial truck traffic in the region,"O,B-ent,O,B-qty,I-qty,I-qty,I-qty,O,B-attr,I-attr,I-attr,O,O,O",commercial truck traffic
Chennai has a water table at 2 metres for 60 percent of the year,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty,O,O,O,O,O,O",water table depth
The current standards in the United States is 30 m or less,"O,B-attr,I-attr,O,O,B-ent,I-ent,O,B-qty,I-qty,O,O",current standards
""" Cadillac Man "" has a score of 55 % on review aggregator website Rotten Tomatoes based on 11 reviews","O,B-ent,I-ent,O,O,O,B-attr,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O",score
"These archaeologists discovered that Gobero had been almost continually inhabited for 5000 years , beginning roughly from 8000 BCE onwards when the area fronted a large lake","O,O,O,O,B-ent,O,O,O,O,O,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O,O,O,O",inhabitation duration
"The wine casks had only to be carted to Auxerre , 12 miles away , where they could be shipped down the Yonne and Seine Rivers into the city","O,O,O,O,O,B-attr,O,O,I-attr,I-attr,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",distance to Auxerre
"Thomas Stothard provided several illustrations for an edition of "" The Vicar of Wakefield "" published 30 years after its first publication in 1766","O,O,O,O,O,O,O,B-ent,I-ent,O,I-ent,I-ent,I-ent,I-ent,O,B-attr,B-qty,I-qty,O,O,B-attr,I-attr,O,O",published time duration difference with first publication
"Rajaji is accessible through different gates ; the Ramgarh Gate and Mohand Gate are within 25 km of Dehradun , while the Motichur , Ranipur and Chilla Gates are just about 9 km from Haridwar","O,O,O,O,O,O,O,O,B-ent,I-ent,I-ent,I-ent,I-ent,O,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",distance from Dehradun
"Israeli singer Rika Zaraï released a cover version of the song in "" Alors je Chante "" and spent three weeks at number one in the List_of_number - one_singles_of_1969_ ( France ) from 16 August - 5 September 1969","O,O,O,O,O,O,O,O,O,O,O,O,O,B-ent,I-ent,I-ent,O,O,B-attr,B-qty,I-qty,B-attr,I-attr,I-attr,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",duration spent at number one
"In response , the Santa Clara Valley Water District ( SCVWD ) lowered the water level to 74 percent of capacity and announced further analysis of the situation , which could possibly result in retrofitting the dam if necessary","O,O,O,B-ent,I-ent,I-ent,I-ent,I-ent,I-ent,O,O,O,B-attr,O,I-attr,I-attr,O,B-qty,I-qty,O,I-attr,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",lowered water level capacity
"According to the 2005 census , the county seat of Salamanca accounted for 61.57 % of the total municipal population ( 143,838 inhabitants ) and Valtierrilla accounted for 5.19 % ( 12,118 inhabitants )","O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-attr,O,O,B-attr,I-attr,I-attr,O,O,O,O,O,B-ent,O,O,B-qty,I-qty,O,O,O,O",total municipal population
"Asian Americans with other ancestry comprise 5.4 % of the U.S. population , while people who are Asian alone , and those combined with at least one other race , make up 6.8 %","B-ent,I-ent,O,O,O,O,B-qty,I-qty,O,O,B-attr,I-attr,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",U.S. population proportion
"Since 2010 , Manhattan 's population was estimated by the Census Bureau to have increased 2.5 % to 1,626,159 as of 2013 , representing 19.3 % of the city 's population and 8.3 % of the state 's population","O,O,O,B-ent,O,B-attr,O,O,O,O,O,O,O,O,I-attr,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",increased population
"Through these efforts , Congress and the Clinton administration cut federal DSH payments by 5 % and limited their further growth ; as such , in 1998 $ 15 billion in Medicaid DSH payments were issued to hospitals","O,O,O,O,B-ent,I-ent,I-ent,I-ent,I-ent,B-attr,B-ent,I-ent,B-attr,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ent,B-attr,O,O,O,O",payments reduction
"In his final years , Monkhouse hosted a show on BBC Radio 2 called "" The Monkhouse Archive "" , in which he provided humorous links to clips of comedy acts spanning the previous 50 years","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ent,I-ent,O,O,O,B-qty,I-qty",duration
"The same poll , of 800 Hispanic voters in Florida , had 35 percent of non-Cuban Hispanics supporting Mr. Bush , 59 percent Mr. Kerry and 6 percent undecided or supporting Mr. Nader","O,O,B-ent,O,O,O,O,O,O,O,O,O,B-qty,I-qty,O,B-attr,I-attr,I-attr,I-attr,I-attr,O,O,O,O,O,O,O,O,O,O,O,O,O",non-Cuban Hispanics supporting Mr. Bush
"In 1949 , after the Communists took over her native Czechoslovakia , Ludmila de Fougerolles , who was 6 years old , fled with her family on foot through Bohemia and Bavaria into southern France","O,O,O,O,O,O,O,O,O,O,O,O,B-ent,I-ent,I-ent,O,O,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",age
"That was largely because of a fast start highlighted by two 3 - pointers by Bird and four quick turnovers by Rutgers , which let UConn take a 12-8 lead 4 minutes 40 seconds into the game","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ent,O,O,O,B-attr,B-qty,I-qty,O,O,O,O,O",lead duration
"GameRankings and Metacritic gave it a score of 71 % and 66 out of 100 for the Xbox 360 version , and 65 % and 60 out of 100 for the PlayStation 3 version","B-attr,I-attr,I-attr,O,O,O,I-attr,O,B-qty,I-qty,B-attr,O,O,O,O,O,O,B-ent,I-ent,I-ent,O,O,O,O,O,O,O,O,O,O,O,O,O,O",GameRankings and Metacritic score
"Publicis intends to acquire 70 percent of BCP , Mr. Goldschlager said , while Yves Gougoux , president and chief executive , will retain a 30 percent stake in what will be renamed Publicis-BCP","B-ent,O,O,O,B-qty,I-qty,O,B-attr,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",BCP stake
The regional offices in Europe and North America are 80 percent owned by TBWA and 20 percent owned by Hakuhodo ; the one in Japan is 80 percent owned by Hakuhodo and 20 percent owned by TBWA,"O,B-attr,I-attr,O,I-attr,I-attr,I-attr,I-attr,O,B-qty,I-qty,O,O,B-ent,B-attr,O,B-qty,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Europe and North America regional offices ownership
"American Motors ' automobile sales dropped twenty percent in the first half of 1966 , and the firm reported a fiscal six - month loss of $ 4.2 million on sales of $ 479 million","B-ent,I-ent,O,B-attr,I-attr,I-attr,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",automobile sales drop
"Although a few orders continued to trickle in , the "" Musical Million "" [ a leading shape note periodical ] advertised the book for less than a year , and made no mention of it after 1890","O,O,O,O,O,O,O,O,O,O,O,B-ent,I-ent,O,O,O,O,O,O,O,O,O,O,B-attr,O,O,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O",book advertising duration
"The 2005 lineup of eTrust security software from Computer Associates does just that , and its EZArmor suite takes up less room on your hard drive -- just 18 megabytes -- than other antivirus - firewall combinations","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ent,I-ent,O,O,O,O,O,O,O,O,O,O,B-qty,I-qty,O,O,O,O,O,O,O",size
"The site is situated at 9 kilometers distance from the Yatağan , Muğla - Milas highway , served by an asphalt road bifurcating shortly after the Yatağan Thermal Power Plant when coming from Yatağan","O,B-ent,O,O,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",distance from the Yatağan
"And Crown Publishers receives just under 1 percent of all the money earned from the play , movie and records of '' Fiddler on the Roof , '' which is derived from two Sholom Aleichem stories published by Crown","O,B-ent,I-ent,O,O,O,B-qty,I-qty,B-attr,O,I-attr,O,O,O,I-attr,O,O,O,O,O,I-attr,O,I-attr,I-attr,I-attr,I-attr,O,O,O,O,O,O,O,O,O,O,O,O,B-ent",amount share of Fiddler on the Roof
"( LEAD : Freddie Joe Nunn , 27 , starting defensive end for the Cardinals , was suspended for 30 days by the National Football League yesterday for violating provisions of the league 's substance - abuse policy","O,O,O,B-ent,I-ent,I-ent,O,O,O,O,O,O,O,O,O,O,O,O,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",suspension duration
"Due to the blocking presence of successive mountain ranges , the climate of the interior of the province is semi-arid with certain locations receiving less than 250 mm ( 10 "" ) in annual precipitation","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ent,O,O,O,O,I-ent,O,O,O,B-qty,I-qty,O,O,O,O,O,B-attr,I-attr",annual precipitation
"Revenues at the Prime Equipment Company , which has 66 outlets catering to contractors and refiners in 10 Sunbelt states , declined 18 percent last year to $ 200 million , said Thomas E. Bennett , its president","B-attr,O,O,B-ent,I-ent,I-ent,O,O,O,O,O,O,B-qty,O,O,O,O,O,O,O,O,O,I-qty,I-qty,O,O,I-qty,O,O,I-qty,O,O,O,O,O,O,O,O",revenue decline
"This also remains the last time a Republican won the San Francisco Bay Area , and the last one where San Francisco gave less than 60 % of the vote to the Democratic candidate","O,O,O,O,O,O,O,O,O,O,B-ent,I-ent,O,O,O,O,O,O,O,O,I-ent,I-ent,O,O,O,B-qty,I-qty,O,O,B-attr,O,O,I-attr,I-attr",vote percentage for Democratic candidate
"Meanwhile , Georg Solti 's recording of Richard Wagner 's complete "" Ring Cycle "" is approximately 15 hours in duration and Alexander Scourby 's recitation of the King James Bible is over 80 hours in length","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-attr,O,B-ent,I-ent,O,B-attr,O,O,O,O,O,O,O,B-qty,I-qty,O,O",recitation duration
"Louis R. Cappelli , a Westchester developer , said that he signed a memorandum of understanding yesterday with New Rochelle officials to develop a square block that the city has been trying to develop for more than 30 years","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ent,I-ent,O,O,I-ent,O,O,O,O,O,O,O,O,B-qty,I-qty",development duration
"A team at the National Renewable Energy Laboratory achieved 19.9 % , a record at the time , by modifying the CIGS surface and making it look like CIS","O,B-ent,O,O,I-ent,I-ent,I-ent,I-ent,B-attr,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",achieved efficiency
The United States currency fell nearly 2.5 yen on fears that the United States and Japan may jointly sell dollars in the foreign - exchange market to curb its strength,"O,B-ent,I-ent,I-ent,B-attr,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",amount fell
"Still , shares of British Telecommunications , which have traded near an annual low , surged 7.7 percent , to 740 pence , or $ 10.70 , in London today","O,O,B-attr,O,B-ent,I-ent,O,O,O,O,O,O,O,O,O,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O,O",shares surge
"Alicia Lutes of IGN gave part one a 9.2/10 , saying that it "" shines in its deliciously dark plotlines , volumes of camp , and irreverent and at - times antagonistic humor . ""","B-ent,I-ent,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",unknown
They stretch along a 100 km long and 18 km wide strip of land between Low Beskids in the south and heights of plateau in the north,"O,O,O,O,O,B-qty,O,O,I-qty,I-qty,O,O,O,B-ent,O,O,O,O,O,O,O,O,O,O,O,O,O",breadth
"According to the New Jersey Department of Corrections Web site , Mr. Harley served about 30 months in prison for aggravated assault and unlawful possession of a weapon","O,O,O,O,O,O,O,O,O,O,O,B-ent,I-ent,O,O,B-qty,I-qty,O,B-attr,O,O,O,O,O,O,O,O,O",prison duration
"To date , "" The Dark Side of the Moon "" has spent 741 weeks on the USA - based Billboard 200 album chart , the longest duration of any album in history","O,O,O,O,B-ent,I-ent,I-ent,I-ent,I-ent,I-ent,O,O,B-attr,B-qty,I-qty,B-attr,B-ent,B-attr,I-attr,I-attr,I-attr,I-attr,I-attr,I-attr,O,B-ent,O,B-attr,B-ent,O,B-attr,O,O",duration spent on  USA - based Billboard 200 album chart
"The facade of the Louvre incorporates one of his largest groups , the Monumental sculpture "" L ' Equitation "" , which depicts a horse and two "" Putto "" , one of whom is aboard the horse","O,O,B-attr,O,O,O,O,I-attr,O,O,O,O,O,B-ent,I-ent,B-qty,B-ent,I-ent,I-ent,B-qty,O,O,O,O,O,O,O,B-ent,O,B-qty,O,O,B-attr,O,O,O,O,O",number of putto
"The speeds of M60 SBS buses increased 27 % to 36 % , but only as a result of other improvements such as off - board fare payment and fewer stops","O,B-attr,O,B-ent,I-ent,I-ent,O,B-qty,I-qty,I-qty,I-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",speed increase
"German artillery had fired a further 46,750 tons of munitions , with total Axis munitions consumption coming to 67,278 tons over the course of one month","B-ent,I-ent,O,O,O,O,O,O,O,O,O,O,I-attr,I-attr,I-attr,I-attr,O,O,B-qty,I-qty,O,O,O,O,O,O",total Axis munitions consumption
"Tennessee 33 , Mississippi 21 KNOXVILLE , Tenn . ( AP ) - Chuck Webb rushed for a school - record 294 yards and scored twice to rally Tennessee in the S.E.C. game","O,O,O,O,O,O,O,O,O,O,O,O,O,B-ent,I-ent,O,O,O,O,O,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O",rushing yards
"Harburn asked the club for an extra £1 a week , but was refused , and in July 1958 , he was sold to Everton F.C. for a fee of £6,500","B-ent,B-attr,I-attr,I-attr,O,O,I-attr,B-qty,I-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-qty,O,O,O",extra amount asked the club
"On the 20th of June 2017 , reports emerged that Egypt and Hamas reached an understanding according to which Egypt would supply 500 tons of diesel fuel daily","O,O,O,O,O,O,O,O,O,O,B-ent,O,O,O,O,O,O,O,O,I-ent,O,O,B-qty,I-qty,O,B-attr,I-attr,I-attr",daily diesel fuel supplied
"While I.B.M. still lost $ 153 million in its PC business last quarter , its sales increased by 50 percent , and the loss narrowed from a year ago","O,B-ent,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-attr,I-attr,O,B-qty,I-qty,O",loss narrowed duration
"Another tender was requested for four more boats , but when Ganz Works reduced their price by ten percent , a total of sixteen boats were ordered from them","O,O,O,O,O,O,O,O,O,O,O,B-ent,I-ent,B-attr,O,B-attr,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O",price reduction
The Beermen clinch the 1 st outright semis slot but they lost to their sister team the Star Hotshots in 6 games ( 4-2 ),"O,B-ent,O,O,B-qty,I-qty,B-attr,I-attr,I-attr,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",outright semis slot
"The slightly higher Mount Kyllini mountain is about 15 km to its east , separated from Aroania by the valley of the river Olvios","O,O,O,O,B-ent,I-ent,O,O,B-qty,I-qty,B-attr,O,I-attr,O,O,O,O,O,O,O,O,O,O,O",east distance
"The Greater Jakarta metropolitan area has an area of 6,392 square kilometers , which is known as Jabodetabek ( an acronym of Jakarta , Bogor , Depok , Tangerang and Bekasi )","O,B-ent,I-ent,I-ent,B-attr,O,O,B-ent,O,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O,B-ent,O,O,O,O,O,O,O,O,O",area
"The Zillertal branches from the Inn trench near Jenbach , about 40 km northeast of Innsbruck , running mostly in a north - south direction","O,B-ent,I-ent,O,O,O,O,O,O,O,O,B-qty,I-qty,O,O,B-attr,O,O,O,O,O,O,O,O,O",distance northeast of Innsbruck
"# 2 Ericksons Producing Craig Erickson of Miami passed for 357 yards , threw one touchdown pass and ran for another in a 38-7 victory at Missouri","O,O,O,O,B-ent,I-ent,O,O,O,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",passing yards
"Produced and mixed by Tommy Henriksen and James Bourne , Bourne describes the album as "" 100 % electronic - and not a rock album ""","O,O,O,O,O,O,O,O,O,O,O,O,O,B-ent,O,O,B-qty,I-qty,B-attr,O,O,O,O,O,B-ent,O",electronic percentage
"Barney Rock scored an 11th - minute goal , while four players ( 3 Dublin , 1 Galway ) were sent off , earning the Dublin team the epithet "" The Dirty Dozen ""","B-ent,I-ent,O,O,B-qty,O,B-attr,I-attr,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",goal minute duration
"So far this year , Comcast 's stock has risen 17.5 percent","O,O,O,O,O,B-ent,O,B-attr,O,O,B-qty,I-qty",stock rise
"Arlescote is fairly remote , with the nearest village being 2 miles away","B-ent,O,O,O,O,O,O,B-attr,I-attr,O,B-qty,I-qty,O",distance to nearest village
"Grupo Mexico , Mexico 's largest diversified mining company , owned a 9.7 percent stake in Asarco , the largest single holding","B-ent,I-ent,O,I-ent,O,O,O,O,O,O,O,O,B-qty,I-qty,B-attr,O,O,O,O,O,O,O",stake share
A study in Canada found that the high school dropout rate for all ESL students was 74 %,"O,O,O,O,O,O,O,B-attr,I-attr,I-attr,I-attr,O,O,B-ent,I-ent,O,B-qty,I-qty",high school dropout rate
"Pocklington had wanted a WHL franchise in Edmonton for himself , but was never granted one","B-ent,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",unknown
"While in Detroit , his offensive line helped Barry Sanders to rush for over 2,000 yards","O,O,O,O,O,O,O,O,B-ent,I-ent,O,O,O,O,B-qty,B-attr",rushing yards
Sta . Maria Val Müstair has an unemployment rate of 1.45 %,"B-ent,I-ent,I-ent,I-ent,I-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate
Across these multiple Facebook channels MoviePilot has a monthly social reach of over 300 M shares,"O,O,O,O,O,B-ent,O,O,B-attr,I-attr,I-attr,O,O,B-qty,I-qty,B-attr",monthly social reach shares
Alwadi is about 39 km from National Highway 3 ( India ) and 23 km from state highway 211,"B-ent,O,O,O,O,O,O,O,O,O,O,O,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr",distance from state highway 211
"Despite the stop in Teneriffe , the voyage took only 116 days","O,O,O,O,O,O,O,B-ent,B-attr,O,B-qty,I-qty",duration took
The Jewish National Fund provided 700 dunams of land for the kibbutz,"O,B-ent,I-ent,I-ent,B-attr,B-qty,I-qty,O,B-attr,O,O,O",provided land area
"Before the finals , Sprewell was averaging 33.6 minutes per game in the playoffs and Houston 36.8","O,O,O,O,B-ent,O,B-attr,B-qty,I-qty,O,B-attr,I-attr,O,I-attr,O,O,O",averaging game duration in playoffs
"At the time , Montana was located at about 40 degrees Latitude","O,O,O,O,B-ent,O,O,O,O,B-qty,I-qty,B-attr",latitude angle
Kavital is 60 km west to the district headquarters Raichur and 35 km north to the taluka headquarters Manvi,"B-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr,I-attr,I-attr,O,O,O,O,O,O,O,O,O",distance west to the district headquarters Raichur
"Compiled and abstracted in a searchable format , "" EconLit "" indexes 125 years of economic literature from around the world","O,O,O,O,O,O,O,O,O,B-ent,O,O,B-qty,I-qty,O,B-attr,I-attr,O,O,O,O",economic literature indexed duration
"In September , Ms. Furlow was sentenced to 46 months in prison for collecting $ 215,000 from 20 couples","O,O,O,B-ent,I-ent,O,O,O,B-qty,I-qty,O,B-attr,O,O,O,O,O,O,O",prison duration
Star Gladiator has an aggregate score of 82.40 % for the Playstation version on Gamerankings.com based on 5 reviews,"B-ent,I-ent,O,O,B-attr,I-attr,O,B-qty,I-qty,O,O,B-attr,I-attr,O,O,O,O,O,O",Playstation version aggregate score
"Ford Valencia garnered a score of 83 % and performed John Legend 's hit "" All of Me ( John Legend song ) ""","B-ent,I-ent,B-attr,O,I-attr,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",garnered score
"The age of Plato is about 3.84 billion years , only slightly younger than the Mare Imbrium to the south","O,B-attr,O,B-ent,O,O,B-qty,I-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O",age
"After a spell living in Trinidad , the family returned to England when Chapman was about five years old","O,O,O,O,O,O,O,O,O,O,O,O,O,B-ent,O,O,B-qty,I-qty,O",age
The Šar Mountains have a total area of 1600 km,"O,B-ent,I-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",total area
But Kudrin struck an annihilating blow with 32 Rh6 !,"O,B-ent,O,O,O,O,O,O,O,O",unknown
Hospental has an unemployment rate of 0.33 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate
Seuzach has an unemployment rate of 1.43 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate
Kumhari 's distance from Raipur is about 6.8 nm,"B-ent,O,B-attr,I-attr,I-attr,O,O,B-qty,I-qty",distance from Raipur
So Telespazio VEGA has around 40 years experience in spaceflight,"O,B-ent,I-ent,O,O,B-qty,I-qty,B-attr,O,I-attr",spaceflight experience
The London demonstration lasted for well over four hours,"O,B-ent,I-ent,B-attr,O,O,O,B-qty,I-qty",duration lasted
Pristina International Airport is some 70 kilometres east of Gjakova,"B-ent,I-ent,I-ent,O,O,B-qty,I-qty,B-attr,O,I-attr",distance east of Gjakova
The Bundesbank 's discount rate is 8.25 percent,"O,B-ent,O,B-attr,I-attr,O,B-qty,I-qty",discount rate
The Uzbekistan border is about 10 km away,"O,B-ent,I-ent,O,O,B-qty,I-qty,O",distance
LaFollette is 33 miles north of Knoxville,"B-ent,O,B-qty,I-qty,B-attr,O,O",distance north of Knoxville
The hull ( watercraft ) is light and weighs 225 kg,"O,B-ent,O,O,O,O,O,O,O,B-qty,I-qty",weighs
"Beloved husband of Selma , married 57 years","O,B-ent,I-ent,I-ent,O,O,B-qty,I-qty",duration married
Bhalki is 40 km from District headquarters Bidar,"B-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr",distance from District headquarters Bidar
"Nb4 , Gulko sacrificed the exchange with 23 Rc7 !?","O,O,B-ent,O,O,O,O,O,O,O",unknown
At the time Ibn Taymiyyah was 42 years old,"O,O,O,B-ent,I-ent,O,B-qty,I-qty,O",age