preds,ground_truth,Tags
 total length,total length,"['O', 'B-attr', 'I-attr', 'O', 'O', 'I-ent', 'I-ent', 'O', 'B-qty', 'I-qty']"
 led line,number of sacks,"['B-ent', 'O', 'B-ent', 'I-ent', 'B-attr', 'O', 'I-attr', 'O', 'B-qty', 'I-qty']"
 diameter,diameter,"['O', 'B-attr', 'O', 'B-ent', 'I-ent', 'I-ent', 'O', 'O', 'I-qty']"
duration presence lasted,presence duration,"['O', 'B-attr', 'O', 'B-ent', 'B-attr', 'B-qty', 'I-qty']"
share Kia,Kia share,"['B-ent', 'O', 'B-qty', 'I-qty', 'O', 'B-attr']"
unknown ,unknown,"['B-ent', 'I-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 share,share,"['B-ent', 'I-ent', 'B-attr', 'O', 'O', 'B-qty', 'I-qty']"
 India 's Iron ore reserves,India's Iron ore reserves,"['B-ent', 'I-ent', 'O', 'B-qty', 'I-qty', 'O', 'B-attr', 'I-attr', 'I-attr', 'I-attr', 'I-attr']"
distance from the airport,distance from the airport,"['B-ent', 'I-ent', 'I-ent', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'I-attr']"
duration built,duration built,"['O', 'B-ent', 'O', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O']"
 carries commercial truck traffic,commercial truck traffic,"['O', 'B-ent', 'B-attr', 'B-qty', 'I-qty', 'I-qty', 'I-qty', 'O', 'B-attr', 'I-attr', 'I-attr', 'O', 'O', 'O']"
 water table,water table depth,"['B-ent', 'O', 'O', 'B-attr', 'I-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O']"
 current standards,current standards,"['O', 'B-attr', 'I-attr', 'O', 'B-ent', 'I-ent', 'I-ent', 'O', 'B-qty', 'I-qty', 'O', 'O']"
 score,score,"['O', 'B-ent', 'I-ent', 'O', 'O', 'O', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
duration inhabited,inhabitation duration,"['O', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
distance carted shipped,distance to Auxerre,"['O', 'B-ent', 'I-ent', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
duration provided illustrations,published time duration difference with first publication,"['B-ent', 'I-ent', 'B-attr', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O']"
distance of Dehradun,distance from Dehradun,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
duration spent,duration spent at number one,"['B-ent', 'O', 'B-ent', 'I-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 lowered water level to,lowered water level capacity,"['O', 'O', 'O', 'B-ent', 'I-ent', 'I-ent', 'I-ent', 'I-ent', 'I-ent', 'O', 'O', 'O', 'B-attr', 'O', 'B-attr', 'I-attr', 'I-attr', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 accounted total municipal population accounted,total municipal population,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'I-attr', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'I-qty', 'O', 'O', 'O', 'O']"
 comprise population make,U.S. population proportion,"['B-ent', 'I-ent', 'O', 'I-ent', 'I-ent', 'B-attr', 'B-qty', 'I-qty', 'O', 'O', 'O', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O']"
 population increased city,increased population,"['O', 'O', 'O', 'B-ent', 'I-ent', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-attr', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 cut federal payments payments issued,payments reduction,"['O', 'O', 'O', 'O', 'B-ent', 'I-ent', 'I-ent', 'I-ent', 'I-ent', 'B-attr', 'B-attr', 'O', 'I-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'B-attr', 'O', 'B-attr', 'O', 'O']"
duration hosted provided,duration,"['O', 'O', 'O', 'O', 'O', 'B-ent', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'I-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty']"
percentage poll Hispanic voters,non-Cuban Hispanics supporting Mr. Bush,"['O', 'O', 'I-attr', 'O', 'O', 'O', 'B-attr', 'I-attr', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
age ,age,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'I-ent', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
duration ,lead duration,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O']"
 score,GameRankings and Metacritic score,"['B-ent', 'I-ent', 'I-ent', 'O', 'O', 'O', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 BCP stake,BCP stake,"['B-ent', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-qty', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O']"
share offices,Europe and North America regional offices ownership,"['O', 'B-ent', 'B-attr', 'O', 'B-ent', 'I-ent', 'I-ent', 'I-ent', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 automobile sales dropped firm reported loss,automobile sales drop,"['B-ent', 'I-ent', 'I-ent', 'B-attr', 'B-attr', 'I-attr', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
duration advertised,book advertising duration,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
size takes less,size,"['O', 'O', 'O', 'O', 'B-ent', 'I-ent', 'I-ent', 'O', 'B-ent', 'I-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-ent', 'B-attr', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
distance distance from,distance from the YataÄŸan,"['O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'B-attr', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 receives money,amount share of Fiddler on the Roof,"['O', 'B-ent', 'I-ent', 'B-attr', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
duration suspended,suspension duration,"['O', 'O', 'O', 'B-ent', 'I-ent', 'I-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 climate receiving annual precipitation,annual precipitation,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'B-ent', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'O', 'I-ent', 'B-attr', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'I-attr', 'I-attr']"
exports Revenues declined,revenue decline,"['B-attr', 'O', 'B-ent', 'I-ent', 'I-ent', 'I-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'I-qty', 'O', 'O', 'O', 'I-ent', 'O', 'O', 'O', 'O']"
 won gave the vote,vote percentage for Democratic candidate,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-ent', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'B-qty', 'I-qty', 'O', 'B-attr', 'I-attr', 'O', 'O', 'O', 'O']"
duration ,recitation duration,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'B-ent', 'O', 'O', 'O', 'O', 'B-ent', 'I-ent', 'I-ent', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O']"
duration ,development duration,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty']"
 achieved,achieved efficiency,"['O', 'I-ent', 'O', 'O', 'I-ent', 'I-ent', 'I-ent', 'I-ent', 'B-attr', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
amount currency fell,amount fell,"['O', 'B-ent', 'I-ent', 'B-attr', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
shares surged,shares surge,"['O', 'O', 'O', 'O', 'B-ent', 'I-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
unknown gave,unknown,"['B-ent', 'I-ent', 'O', 'B-ent', 'B-attr', 'B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
distance breadth stretch wide land,breadth,"['O', 'B-attr', 'O', 'O', 'O', 'B-qty', 'O', 'O', 'B-qty', 'I-qty', 'I-attr', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
duration served,prison duration,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-ent', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
duration spent on the based Billboard 200 chart,duration spent on  USA - based Billboard 200 album chart,"['O', 'O', 'O', 'O', 'O', 'O', 'I-ent', 'I-ent', 'O', 'I-ent', 'O', 'O', 'B-attr', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'O', 'O', 'I-attr', 'I-attr', 'I-attr', 'O', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
unknown ,number of putto,"['O', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 speeds increased,speed increase,"['O', 'B-attr', 'O', 'I-ent', 'I-ent', 'I-ent', 'B-attr', 'B-qty', 'I-qty', 'I-qty', 'I-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 munitions munitions,total Axis munitions consumption,"['O', 'I-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O']"
 rushed,rushing yards,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'I-ent', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
amount ,extra amount asked the club,"['B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 supply diesel fuel,daily diesel fuel supplied,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'I-ent', 'I-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'B-attr', 'B-qty', 'I-qty', 'O', 'B-attr', 'B-attr', 'O']"
duration ,loss narrowed duration,"['O', 'B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O']"
 reduced,price reduction,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'B-attr', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 clinch slot,outright semis slot,"['B-ent', 'I-ent', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
distance to its east,east distance,"['O', 'O', 'O', 'B-ent', 'I-ent', 'I-ent', 'O', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 area,area,"['B-ent', 'B-ent', 'I-ent', 'I-ent', 'I-ent', 'O', 'O', 'B-attr', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
distance northeast of Innsbruck,distance northeast of Innsbruck,"['O', 'B-ent', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 passed,passing yards,"['O', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'B-ent', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
unknown ,electronic percentage,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 scored goal,goal minute duration,"['B-ent', 'I-ent', 'B-attr', 'O', 'B-qty', 'O', 'I-qty', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 stock risen,stock rise,"['O', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'B-attr', 'O', 'I-attr', 'B-qty', 'I-qty']"
distance ,distance to nearest village,"['B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'I-ent', 'O', 'B-qty', 'I-qty', 'O']"
 owned stake in,stake share,"['B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O']"
 high school dropout rate students,high school dropout rate,"['O', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'B-attr', 'I-attr', 'I-attr', 'I-attr', 'O', 'O', 'O', 'I-attr', 'O', 'B-qty', 'I-qty']"
unknown ,unknown,"['B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 rush,rushing yards,"['O', 'O', 'O', 'O', 'O', 'B-ent', 'I-ent', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'B-qty', 'I-qty']"
 unemployment rate,unemployment rate,"['B-ent', 'B-ent', 'I-ent', 'I-ent', 'I-ent', 'O', 'O', 'B-attr', 'I-attr', 'O', 'B-qty', 'I-qty']"
 monthly social reach shares,monthly social reach shares,"['O', 'O', 'O', 'O', 'O', 'I-ent', 'O', 'O', 'B-attr', 'I-attr', 'I-attr', 'O', 'O', 'B-qty', 'I-qty', 'I-attr']"
distance from from state highway 211,distance from state highway 211,"['B-ent', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'I-attr', 'I-attr']"
duration took,duration took,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'B-attr', 'O', 'B-qty', 'I-qty']"
 provided land kibbutz,provided land area,"['B-ent', 'B-ent', 'I-ent', 'I-ent', 'B-attr', 'B-qty', 'I-qty', 'O', 'B-attr', 'O', 'O', 'I-attr']"
time averaging game,averaging game duration in playoffs,"['O', 'O', 'O', 'O', 'B-ent', 'O', 'B-attr', 'B-qty', 'I-qty', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O']"
angle ,latitude angle,"['O', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O']"
distance west to the district headquarters Raichur headquarters,distance west to the district headquarters Raichur,"['B-ent', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'I-attr', 'I-attr', 'I-attr', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-attr', 'O']"
 indexes literature,economic literature indexed duration,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'B-attr', 'B-qty', 'I-qty', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O']"
duration sentenced,prison duration,"['O', 'O', 'O', 'B-ent', 'I-ent', 'O', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 aggregate score,Playstation version aggregate score,"['B-ent', 'I-ent', 'O', 'O', 'B-attr', 'I-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 garnered score,garnered score,"['B-ent', 'I-ent', 'B-attr', 'O', 'I-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 age,age,"['O', 'B-attr', 'O', 'B-ent', 'O', 'O', 'B-qty', 'I-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
age ,age,"['O', 'B-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'B-qty', 'I-qty', 'O']"
 total area,total area,"['B-ent', 'I-ent', 'I-ent', 'O', 'O', 'B-attr', 'I-attr', 'O', 'B-qty', 'I-qty']"
unknown ,unknown,"['O', 'B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 unemployment rate,unemployment rate,"['B-ent', 'O', 'O', 'B-attr', 'I-attr', 'O', 'B-qty', 'I-qty']"
 unemployment rate,unemployment rate,"['B-ent', 'O', 'O', 'B-attr', 'I-attr', 'O', 'B-qty', 'I-qty']"
 distance,distance from Raipur,"['B-ent', 'I-ent', 'B-attr', 'O', 'I-ent', 'O', 'O', 'B-qty', 'I-qty']"
 experience in spaceflight,spaceflight experience,"['O', 'B-ent', 'I-ent', 'O', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'I-attr']"
duration lasted,duration lasted,"['O', 'B-ent', 'I-ent', 'B-attr', 'O', 'O', 'O', 'B-qty', 'I-qty']"
distance east of Gjakova,distance east of Gjakova,"['B-ent', 'I-ent', 'I-ent', 'O', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'I-attr']"
 discount rate,discount rate,"['B-ent', 'I-ent', 'I-ent', 'B-attr', 'I-attr', 'O', 'B-qty', 'I-qty']"
distance ,distance,"['O', 'B-ent', 'I-ent', 'O', 'O', 'B-qty', 'I-qty', 'O']"
distance north of Knoxville,distance north of Knoxville,"['B-ent', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'I-attr']"
 weighs,weighs,"['O', 'B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'B-qty', 'I-qty']"
duration married,duration married,"['O', 'O', 'O', 'O', 'O', 'B-attr', 'B-qty', 'I-qty']"
distance from District headquarters Bidar,distance from District headquarters Bidar,"['B-ent', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'I-attr', 'I-attr']"
unknown ,unknown,"['O', 'O', 'B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
age ,age,"['O', 'O', 'O', 'B-ent', 'I-ent', 'O', 'B-qty', 'I-qty', 'O']"
